HotelID,HotelName
4658,LQ Raleigh Durham AirportNC 3584
4657,LQ Raleigh Durham SouthpointNC 3583
4601,LQ Raleigh Durham University Area Chapel HillNC 3582
4664,LQ San Antonio DowntownTX 3604
4665,LQ San Antonio Market SquareTX 3594
4666,LQ San Antonio RiverwalkTX 3591
4670,LQ Santa FeNM 3609
4672,LQ Shreveport AirportLA 3612
4673,LQ StamfordCT 3619
4676,LQ Sunrise Sawgrass MillsFL 3572
4675,LQ SunriseFL 3577
4677,LQ TacomaSeattleWA 3623
4678,LQ Tampa Brandon Regency ParkFL 3564
4680,LQ Tucson AirportAZ 3527
4681,LQ VenturaCA 3537
4682,LQ Virgina BeachVA 3620
4684,LQ West Palm Beach AirportFL 3581
3803,Miami Airport Marriott
3914,Residence Inn by Marriott Miami Airport
3903,RI AddisonTX 9616
3916,RI Altamonte SpringsFL 9644
3896,RI ArlingtonTX 9623
3897,RI Atlanta DowntownGA 9621
3893,RI Atlanta DuluthGA 9260
3923,RI BellevueWA 9604
3899,RI BinghamtonNY 9628
3894,RI Bloomingdale IL 9261
3925,RI BothellWA 9613
3895,RI Buffalo Galleria MallNY 9262
3929,RI ChandlerAZ 9263
3930,RI Cherry HillNJ 9612
3902,RI Chicago O'HareIL 9622
3904,RI Denver DowntownCO 9618
3905,RI Denver Tech CenterCO 9614
3931,RI DeptfordNJ 9264
3949,RI Des Moines WestIA 9282
3932,RI El PasoTX 9265
3933,RI ExtonPA 9266
3934,RI FlintMI 9267
3935,RI FolsomCA 9268
3900,RI FoxboroughMA 9801
3908,RI FremontCA 9607
3909,RI GaithersburgMD 9617
3910,RI Harrisburg HersheyPA 9630
3936,RI Houston NorthwestTX 9269
3937,RI Kansas City IndependenceMO 9270
3938,RI Las Vegas SouthNV 9271
3912,RI Lexington NorthKY 9627
3906,RI LivoniaMI 9619
3913,RI Louisville EastKY 9633
3924,RI LynnwoodWA 9611
3939,RI MontgomeryvillePA 9272
3940,RI Morgan HillCA 9273
3941,RI Oklahoma City SouthOK 9274
3915,RI Ontario AirportCA 9636
3942,RI PalmdaleCA 9275
3898,RI Peachtree CornersGA 9639
3917,RI Portland ScarboroughME 9620
3952,RI Potomac MillsVA 9285
3918,RI Richmond NWVA 9641
3919,RI Richmond West EndVA 9635
3943,RI RosevilleCA 9276
3920,RI Saddle RiverNJ 9610
3944,RI SalemOR 9277
3945,RI SalinasCA 9278
3921,RI San Jose CampbellCA 9602
